timestamp,random_forest,logistic_regression,ensemble
2026-03-26 21:18:46,1.0,1.0,1.0
2026-03-26 21:20:51,1.0,1.0,1.0
2026-03-26 21:22:55,0.9167,0.9583,0.9583
2026-03-26 21:24:19,1.0,1.0,1.0
2026-03-26 21:26:17,0.9211,0.9211,0.9474
2026-03-26 21:28:21,1.0,0.9565,1.0
2026-03-26 21:30:25,0.9815,0.963,0.9815
2026-03-26 21:32:29,1.0,0.9677,1.0
2026-03-26 21:34:33,0.9714,0.9571,0.9714
2026-03-26 21:36:38,1.0,0.9615,1.0
2026-03-30 16:31:57,0.9873,0.9367,0.9747
2026-03-30 16:34:03,0.9655,0.9425,0.954
2026-03-30 16:36:07,0.9895,0.9684,0.9895
2026-03-30 21:33:11,1.0,0.9406,0.9901
2026-03-30 21:34:28,0.9908,0.945,0.9908
2026-03-30 21:34:36,0.9829,0.9402,0.9829
2026-03-30 21:34:42,0.992,0.944,0.984
2026-03-30 21:34:50,0.985,0.9624,0.985
2026-03-30 21:36:23,1.0,0.9858,1.0
2026-03-30 21:46:29,1.0,0.9858,1.0
2026-03-30 21:58:49,0.9863,0.9452,0.9863
2026-03-30 22:18:26,0.9868,0.9735,0.9801
2026-03-30 22:35:32,0.9811,0.9497,0.9686
2026-03-30 22:43:20,1.0,0.9693,1.0
2026-03-30 22:44:16,0.9825,0.9649,0.9825
2026-03-30 22:45:36,0.9944,0.9888,0.9944
2026-03-30 22:51:38,1.0,0.9624,0.9946
2026-03-31 16:15:20,0.8639,0.8482,0.8796
2026-03-31 16:21:59,0.8782,0.8477,0.9086
2026-03-31 16:22:36,0.8829,0.8634,0.8878
2026-03-31 16:53:27,0.8835,0.8641,0.8883
2026-03-31 16:54:22,0.8738,0.8364,0.8785
2026-03-31 16:55:02,0.9054,0.8649,0.9144
2026-04-11 11:54:44,0.963,0.963,0.963
